Brand,Product Name,Top Notes,Heart Notes,Based Notes,Mood
Crusita,The Greatest Toba,"Marin, Bergamot, Oudwood, Green Apple","Violet, Cedar, Cashmere Wood, Pink Pepper","Moss, Amberwood, Musk, Patchouli ","petualang masculine, brave, adventurous"
Crusita,Twilight,"Fresh Ginger, Orange, Bergamot","Tuberose, Neroli, Jasmine","Sandalwood, Vanilla","full of spirit, inspired"
Mine,Floraison,"Pink Pepper, Pny, Lychee, Wild Berry","Hedione, Rose Otto Oil","White Musk, Patchouli, Bois De Rose","Romance, Femininity, Desirability, Floral, Sweet Notes, Versatility"
Mine,Ethereal,"Vanillin, Almond, Hedione","Bergamot, Baby's Breath, Pink Pepper","Sandalwood, Cashmeran and Orange","Vacation, Ocean, Ease"
Mine,Lucid Dreams,"Air, White Peach, Gardenia","Solar, Maltol, Vanillin","White Musk, Ambergris, Ambroxan",
Mine,Narcotique,"Blood Orange, Bergamot, Sicilian Lemon","Sea Salt, Cardamom, Petitgrain","Vetiver, Cedarwood, Ambrette","Intoxicating, Sparkling, Sillage, Attention-grabbing"
Mine,La Boheme,"Forest Mist, Cannabis, Raspberry Ketone","Oakmoss, Violet, Vanillin","Patchouli, Wild Vetiver, Ethyl Maltol","Earthy, Refined, Enjoyment, Natural Joy"
Mine,Beige 96,"Juniper Berry, Skin Accord, Musk Mallow","Suede, Rose","Sandalwood, Vetiver, Orange, Clary Sage","Elevated, Nuanced, Multifaceted, Premium Experience"
Mine,Almalika,"Desert Lavender, Fir Needle, Black Pepper, Myrrh","Lilac, Desert Rose","White Oud, Guaiacwood, Vanillin","Confidence, Independence, Royal Highness, Strong Queen, Self-assuredness, Desire, Envy"
Mine,2021,"Urban Greenery, Lemon Zest, Pink Pepper","Rose (Delta Damascone), Futuristic Florals, Ozonic Woods","Dry Woods, Benzoin, Tonka Bean, Dripping Honey","mysterius, modern, earthy, dreamy"
Mine,2022,,,,"cosmic lily, bergamot spritz, ruby rhubarb, crystallin vanilla"
Personal Chemistry,Unspoken,"Plum, Pink Pepper, Cardamom","Damascena Rose, Incense, Elemi","Patchouli, Gaiac Wood, Cypriol","smokey, woody, powdery fragrance mixed with a hint of rose, plum sweetness"
Personal Chemistry,Velvet Kiss,"Juicy Tangerine, Davana, Raspberry","Orange Blossom, Damascena Rose, Violet, Cyclamen","Orris, Cashmeran, Cedarwood","can brighten up your face, spirit"
HINT,Dragon,,,,"Woody,aromatic"
HINT,Noble,"tuberose, tulip, green","muguet, ylang-ylang, jasmine, fruity","musk, sandalwood, vetiver","Floral,oriental"
HINT,Epitome,"bergamot, cardamom, pepper, mint","fig, coconut milk, basil","atlas cedarwood, patchouli, ambery","Aromatic,woody"
HINT,Resurrect,"bergamot, lavender, cypress","watery, frankincense","musk, suede, oakmoss","Aromatic,rywoodst"
HINT,Identity,"lemon, ozonic, melon","watery, geranium, lily of the valley","amber, patchouli, sea moss, sandalwood",ozonic
HINT,Realm,"citrus, apple blossom","rose, orange blossom, fressia","amber, musk, patchouli","inner peace, helps improve sleep quality"
HINT,Topper Ultimate,"bergamot, marine, orange bitter, cypress","pink peppercorn, green stems, cedarwood","dry amber, patchouli, moss, musk","dark , bolder side"
HINT,Topper Delicate,"geranium, nagarmotha, green, pink pepper","raspberry, magnolia, rose","musk, amber, woody, patchouli","DELICATE, tender, loveable"
Buttonscarves,Nagita Slavina - The Royal,"Anis Star, Rose, Turkish Delight","Tobacco, Fig Fruit, Syrupy, Patchouli","Tonka Bean, Amber, Amber Dry, Musk",
Buttonscarves,Nagita Slavina - London Bloom,"Pear, Raspberry, Mandarin","Jasmine, Orange Blossom, Rose","Sandalwood, Cedarwood, Amber, Vanilla",
Buttonscarves,Nagita Slavina - Queensberry,"Violet Leaf, Raspberry","Heliotrope, Rose, Orris","Tonka Bean, Musk, Vanilla",
Buttonscarves,Nagita Slavina - Summer Wonderland,"Green, Galbanum, Neroli, Blackcurrant","Rose, Geranium, Lavender, Tageie","Woody, Moss, Musky, Guaiacwood",
Buttonscarves,Bilbao,"Perm Ambrette, Calone","Jasmine, Ylang, Narcissus, Maltol","Patchouly, Vetyver, Soft Amber","Elegant, Classic, Simple"
Buttonscarves,Bora Bora,"Bergamot, Mandarin, Grapefruit, Blackcurrant","Orange Flower, Ambroxan","Musk, Benzoin","Fresh, Fun, Summer Vibes"
Buttonscarves,Cairo,"Pink Peppercorn, Marine, Magnolia","Rose, Jasmine/white florals","Patchouli, vanilla, musk","Bold, Elegant, Mysterious"
Buttonscarves,Calabria,"Lemon, Apple Blossom","Freesia, Jasmine","Vanilla, Cedarwood, Patchouli Dust, Musk","Fresh, Compelling, Joyful"
Buttonscarves,Capri,"Bergamot, Pear, Orange, Green","Cedarwood, Freesia, Ozonic, Neroli","Vetyver, Musk, Amber","Fresh, Sweet, Romantic, Feminine"
Buttonscarves,Colmar,"Galbanum, Marine, Rhubarb","Jasmine Tuberose, Orange Flowers","Lactonic, Iris, Ambroxan, Musk","Elegant, Luxurious, Professional"
Buttonscarves,Venice,"Mandarin ylang, white flowers","Plum, sweet, woody, lactonic","Sandalwood, vanilla, musk","Ladylike, Elegant, Romantic"
Buttonscarves,Dsaks - The Lady,"Pink Peppercorn, Pear","Ylang-ylang, Tuberose, Orange Blossom","Dry Woods, Patchouli, Amber, Musk","Elegant, Sweet, Pretentious"
Buttonscarves,Dsaks - Matera,"Kiwi, Watermelon, Pink Pepper, Red Currant","Jasmine, Cyclamen, Rhubarb, Lemon Blossom","Musk, Sandalwood","Fresh, Energetic, Sweet"
Buttonscarves,Dsaks - Jamila,"Lemon, Rose","Amber, Caramel","Vanilla, Cedar Wood, Musk","Seductive, Impressive, Charming, Sophisticated"
Buttonscarves,Dsaks - Diana,"Rose, Saffron, Carnation","Dry Amber, Patchouli","Leather, Amber, Musk","Classic, Luxurious, Mature, Elegant"
The Body Tale,Kairy,"Bergamot, pink pepper","turkish rose, floral, coconut","vanilla, absolute tonka bean, cedarwood","Modern, mature, sweet, comforting"
The Body Tale,Leviora,"lily of the valley, galbanium","vanilla, lily",musk and sandalwood,
The Body Tale,Diana,strawberry,"tuberose, jasmine",amber,"confidence, radiance"
The Body Tale,Teamomile,almond,"chamomile, jasmine, musk","cedre, vanilla, bois de santal","Feeling calm, relaxed"
The Body Tale,Juliette,"cinnamon, cardamom, bergamot","jasmine, ylang ylang, sage","amber, woody, leather, labdanum",center of attention
The Body Tale,Lady M,balsamic,balsamic,"vanilla, musk","aroma of sweetness, vanilla"
The Body Tale,Verona,"black currant, pink pepper","rose, geranium","patchouli, moss, vetiver, musk","fruity, floral"
Project 1945,Fields of Ubud,"Ambrette Seeds, Buchu Leaves, Bergamot, Elemi","Lavender, Sea Salt, Sage, Dried Fruit","Vetiver Java, Sandalwood, Oakmoss","clean, cultural"
Project 1945,The Great Batavia,"Apple, Lemon, Watermelon, Spearmint","Lavender, Clove Indonesia, Geranium, Elemi","Patchouli Indonesia, Vanilla, Tonka Bean, Moss","Aromatic, Woody, Fresh,Fruity"
Project 1945,Sunset in Sumba,"Red Apple, Cardamom, Black Pepper",Lavender,Incense,"sunset, beach"
Project 1945,Bamboe Runcing,"Bergamot, Marine, Green Leaves","Freesia, Waterlily, Osmanthus, White Jasmine, Rose","Musk, Precious Woods, Dry Fruits","Floral, Fresh Aquatic"
Project 1945,Princess of Java,"Peach, Green Pear, Bitter Orange","Tuberose, Neroli, Jasmine, Orange Blossom","Vanilla, Sandalwood, Musk, Amber","floral, fruity, sweet"
Project 1945,Waters of Maluku,"Grapefruit, Carrot, Green Tea","Lotus, Pny, Cinnamon","Clove, Cistus, Incense, Musk","Woody, White Floral, Spicy, Amber"
Project 1945,Apresiasi,"Bergamot, Ambrette Seed, Orange","Neroli, Petitgrain, Musk","Vetiver, Cedarwood, Amber","Woody, Aromatic, Citrus"
Project 1945,Nusantara's Embrace,"Citrus, Incense, Star Anise","Rice, Black Orris, Water Lily","Sesame, Sandalwood, Hay","Woody, Watery"
Project 1945,Samosir,"Honeysuckle, Green Tea","Bergamot, Green, Hasmine","Honey, Labdanum, Musk","Floral, Citrus, Green"
Studio Sable,Rainshower Sacra,"Cedarwood virginia, cardamom, cedrat, geranium, rose accords, leather accords",,,"Refreshing, Invigorating, Timeless, Versatile, Aromatic, Fougere (Aromatic), Spicy, Leathery, energizing shower, fresh start, elevate your spirit"
Studio Sable,Ikebana,"Cedarwood Virginia, Caraway, Petitgrain Paraguay, Cardamom, Orange Blossom Accords, Steam Accords, Linen Accords",,,"renewal, growth, Serene, Harmonious, Timeless, Blooming, Graceful, Fougere (Aromatic), Floral, Woody"
Studio Sable,L'Heure Dor�e,"Red Mandarin, Labdanum Abs, Jasmin Sambac, Violet Leaves Abs, Peach Accords, Black Tea Accords",,,"love, happiness, togetherness, warmth, Confident, Invigorating, Embracing, Sophisticated, Intimate, Floral, Ambery, Woody"
Usual,Out of Shower,"Bergamot, Pepper","Geranium, Lavender","Patchouli, Vetiver","fresh, clean, citrusy, elevate mood, spicy, woody, masculine"
Usual,Citrus & Tonka,,,,"fresh, versatile, and alluring, uplifting, spicy, sweet, creamy, sexy, alluring, sporty, strong scent"
Usual,Canggu Days,,,,"tropical, warmth, magical, relaxing, mature"
Usual,Gentle Ginger,"Ginger, Bergamot, Lemon","Spices, Basil",Synthetic Musk,"fresh, citrusy, spicy, warm, musky, calm, comforting, office, "
Usual,Eau de Steeze,"Lemon, Bergamot",White floral,"Vetiver, Musk","citrusy, fresh, white floral, sweet, creamy, earthy, day out, concert"
Usual,Friday Night,Tobacco,Rum,Cedarwood,"fresh, spicy, sweet, woody, bold, warm, comforting, night out, clubbing"
Usual,Jasmine Bouquet,Marigold,"Jasmine, Honey","Labdanum, Benzoin, Vanilla","sweet, fresh, powdery, beautiful, elegant, soft, calming, warm, daytime"
Usual,Nothing,Fruity Notes,White Floral Notes,"Ambroxide, Iso E Super","Floral, fruity, salty, musky, woody, metallic, modern, transparent scent, mysterius aroma, invisible, simple, clean, minimalist"
Usual,Smells Like Nothing,Ozonic Notes,Floral Notes,"Synthetic Musk, Iso E Super, Ambroxide","skin scent, clean, simple, crisp, and comforting"
Usual,One of a Kind,Iso E Super,Iso E Super,Iso E Super,"minimalist, cedarwood, warm, smooth, velvety"
Usual,Unusual Orris,"Carrot Seeds, Pink Pepper","Iris Pallida, Hedione","Synthetic Musk, Cashmeran, Iso E Super, Ambroxide","iris, creamy, fresh, powdery, woody, musky, and earthy scent, warm, alluring yet subtle scent"
Usual,Bergamore,"Bergamot, Mandarin","Black Tea, Ginger","Ambroxide, Iso E Super","Fresh, citrusy, aromatic, musky, soft woody, clean, uplifting, hint of sweet, floral, skin scent, "
Usual,Lizzie Parra - Rose Supreme,"Raspberry, Geranium","Rose, Saffron","Agarwood, Vetiver, Incense","vibrant, bold, alpha, charm, strong, and her confidence is contagious, woody, strong statement, Intense Aromatic Rose, sweet yet romantic, floral, ambery, rose, "
Usual,Lizzie Parra - Rose Solace,Rose,"Dew Drops, Green Notes, Floral Notes",Spicy Notes,"light, cheerful, playful, bubbly, fresh watery rose, a garden of blooming roses in the morning with dew on its leaves, fresh-cut roses in the garden, green, aquatic, floral, spicy, daytime hangout"
Usual,The Watch Co - 10 am,"Mandarin Orange, Bergamot","Pepper, Nutmeg",Vetiver,"go-to daytime, vibrant spirit, citrusy, fresh spicy, aromatic, warm, woody"
Usual,The Watch Co - 10 pm,"Cloves, Orange Blossom",Woody Notes,"Vanilla, Cashmeran","nightime, unwinding, kicking back, and taking a breath, smoky woody, warm and comforting scent of peaceful nights, Warm spicy, aromatic, sweet"
